array_size,thread_count,cutoff,time_taken
1048576,8,16384,308
1048576,8,32768,59
1048576,8,65536,69
1048576,8,131072,84
1048576,8,262144,51
1048576,8,524288,59
1048576,8,1048576,86
2097152,8,16384,90
2097152,8,32768,105
2097152,8,65536,78
2097152,8,131072,83
2097152,8,262144,87
2097152,8,524288,90
2097152,8,1048576,105
2097152,8,2097152,170
4194304,8,16384,151
4194304,8,32768,167
4194304,8,65536,184
4194304,8,131072,203
4194304,8,262144,124
4194304,8,524288,131
4194304,8,1048576,146
4194304,8,2097152,199
4194304,8,4194304,323
8388608,8,16384,373
8388608,8,32768,454
8388608,8,65536,348
8388608,8,131072,420
8388608,8,262144,303
8388608,8,524288,269
8388608,8,1048576,259
8388608,8,2097152,292
8388608,8,4194304,425
8388608,8,8388608,691
16777216,8,16384,1215
16777216,8,32768,1286
16777216,8,65536,920
16777216,8,131072,772
16777216,8,262144,764
16777216,8,524288,751
16777216,8,1048576,696
16777216,8,2097152,659
16777216,8,4194304,600
16777216,8,8388608,953
16777216,8,16777216,1291
